Table S2. E. Median relative protein abundance in each tissue type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene.id,Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Brain Cerebellum,Brain Cortex,Breast,Colon Sigmoid,Colon Transverse,GE junction,Esophagus Mucosa,Esophagus Muscle,Heart Atrial,Heart Ventricle,Liver,Lung,Minor Salivary,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Unexpo,Skin SunExpo,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
ENSG00000000003,-0.71,-0.17,-0.95,-0.71,-2.28,-1.08,-0.37,-1.31,-0.46,-1.17,0.5,-1.94,-1.45,-1.44,0.15,-0.3,-1.35,-1.15,0.75,0.28,1.09,-0.45,-1.04,-0.61,-0.45,-0.74,-1.74,0.2,-0.32,-1,-1.06,-1.25
ENSG00000000419,0.32,-0.83,-0.6,-0.28,-1.22,-0.44,-0.05,-0.15,-0.6,-0.27,-0.36,-0.54,-0.43,-0.19,0.49,-0.04,0.29,-0.52,-0.7,0.07,1.74,-0.35,-0.16,-0.09,-0.33,-0.49,-0.26,0.4,0.25,0.42,-0.18,-0.23
ENSG00000000457,-0.69,0.21,NA,NA,NA,-0.3,NA,0.38,0.33,0.1,-0.05,-0.4,0.19,0.48,-0.37,-0.53,NA,0.71,-0.69,-1.07,-0.13,-0.63,0.9,-0.06,-0.65,0.18,-0.12,0.66,-1.09,-0.69,NA,0.21
ENSG00000000938,-1.23,-0.68,-0.07,-2.1,-1.4,-2.27,-1.13,-1.56,-1.49,-0.84,-1.77,-0.97,-0.52,-1.39,-0.16,1.25,-0.9,-2.39,-1.67,-3.17,-1.23,-2.27,-1.57,-1.1,-1.55,-0.52,2.2,-1.71,-2.3,-1.76,-1.99,-0.43
ENSG00000000971,-1.03,2.29,2.09,0.8,-3.35,-2.39,0.89,-0.56,-1.46,0.14,-0.34,-0.14,0.61,-1.02,-0.57,0.02,-1.54,-1.46,1.62,0.32,-2.73,-0.82,-1.56,0.06,0.49,-2.21,-1.99,-1.31,-0.82,-1.71,-1.16,-0.5
ENSG00000001036,0.74,-0.21,-1.14,-0.64,-2.59,-1.68,-0.41,-1.31,0.42,-0.98,-0.62,-1.23,-0.12,-0.29,0.31,-0.34,-0.46,-1.65,-0.62,-0.48,-0.42,0.57,-0.6,-0.69,-0.67,0.84,-0.08,0.2,-0.37,2.13,-0.58,-0.55
ENSG00000001084,-0.45,-0.8,-1.06,-0.72,0,0.86,-0.7,0.51,-0.02,0.46,0.26,0.66,-0.49,-0.37,1.55,-0.16,-0.29,-1.01,-0.51,-0.82,0.28,-0.62,0.12,-0.46,-0.69,0.46,0.7,0.31,-0.17,-0.23,-0.71,-0.16
ENSG00000001167,-0.27,-0.05,0.64,-0.84,0.49,0.3,0.62,-0.29,0.16,-0.32,-0.03,-0.02,-0.1,-0.55,-0.54,0.43,-0.18,-0.06,0.79,0.97,0.21,-0.26,-0.01,0.48,0.38,0.56,0.58,-0.16,-0.4,0.54,1.31,0.46
ENSG00000001461,-0.47,-1.5,-3.05,NA,0.77,2.79,-1.08,0.57,NA,NA,-0.96,0.05,0.37,-0.2,-3.28,-0.27,-1.44,-1.21,-0.36,-1.84,-0.82,NA,-0.87,-0.96,-0.8,-0.57,-0.4,-0.38,NA,-0.6,-1.59,-0.98
ENSG00000001497,0.2,-0.35,-4.07,-0.27,-0.6,-0.76,-0.64,-0.41,-0.2,-0.24,0.06,-0.54,-0.1,0.49,0.13,0.01,-0.23,-0.68,-0.1,0.55,0.4,0.29,-0.18,0.17,0.17,-0.06,0.34,-0.06,1.16,0.36,0.51,0.28
ENSG00000001561,-0.32,0.2,0.28,0.32,-0.67,1.05,-0.67,-0.94,0.28,-0.49,-1.5,-0.38,0.87,0.32,-0.54,0.52,-0.53,0.11,-0.19,-1.79,-0.12,1.68,-0.76,-0.7,-1.12,0.6,0.87,0.09,-0.04,-0.32,-1.42,-1.55
ENSG00000001626,0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629,0.29,0.82,0.48,0.41,1.12,1.54,0.47,0.41,-0.02,0.33,0.08,0.26,0.17,0.09,-0.36,-0.14,-0.11,-0.7,0.57,0.29,-0.02,0.05,-0.01,0.57,0.26,-0.39,-0.02,0,0.8,0.22,-0.02,0.3
ENSG00000001630,0.49,-2.04,-2,-2.03,-1.79,-1.82,-1.97,-1.9,-0.72,-1.69,-0.32,-1.82,-0.94,-2.19,0.27,0.11,-1.01,-1.82,-1.08,-1.75,-0.38,-1.21,-2.24,-0.68,-1.41,-0.67,-2.65,-0.8,0.76,-1.39,-1.8,-1.41
ENSG00000001631,-0.2,0.57,-0.46,NA,1.37,-0.61,-0.8,0.17,0.04,-0.1,0,-0.18,-0.26,-0.35,0.07,-0.06,-0.91,0.08,0.5,0.25,-0.37,NA,NA,-0.09,-0.5,NA,0.29,-0.77,0.61,0.01,0.04,0.03
ENSG00000002330,0.89,0.41,1.4,0.98,0.59,2.08,0.72,0.87,0.62,0.9,-0.01,0.95,1.16,1.04,1.51,0.86,0.79,-0.5,0.71,0.86,0.84,1.23,0.8,0.66,1.15,0.79,0.39,1.1,0.44,1.5,1.01,0.44
ENSG00000002549,0.46,0.14,0.49,-0.13,-0.71,0.11,0.38,-0.3,-0.06,-0.1,-0.32,0.14,0.18,0.59,1.94,0.51,-0.25,0,0,-0.92,-0.4,-0.59,-0.12,-0.04,-0.1,0.62,0.71,-0.02,0.17,-0.14,-0.51,-0.34
ENSG00000002586,-0.7,1.75,1.96,1.78,-0.94,-0.66,0.6,1.07,0.57,0.66,0.1,0.43,0.3,0.08,0.34,-0.05,0.81,-0.28,1,1.84,0.32,-0.68,0.41,0.75,0.94,0.06,-0.68,0.18,-0.56,0.36,1.21,1.32
ENSG00000002726,-2.87,-1.08,-1.89,-1.68,-1.25,-2.33,-1.5,1.15,3.73,-1.66,-0.11,-1.58,-2.17,-1.16,-2.82,-2.08,-3.04,-2.29,-1.21,-0.62,-2.29,-2.13,0.57,-1.64,-1.95,4.01,-1.78,-1.63,-3.07,-2.08,-2.92,-1.32
ENSG00000002746,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,-0.18,0.26,1.05,0.12,0.23,-0.31,0.9,0.47,0.16,0.08,0.4,0.45,-0.04,-0.08,0.07,0.29,0.81,0.65,0.52,1,0.72,0.58,0.48,0.8,1.01,0.57,0.24,0.27,0.4,0.63,0.88,0.66
ENSG00000002834,-0.22,2.13,2.68,2.77,-0.86,0.43,1.3,0.93,0.69,0.72,-0.2,0.46,-0.26,-0.34,0.71,0.96,0.02,-0.15,1.03,0.08,0.26,-1.07,0.37,0.3,0.76,1.22,1,0.94,-0.92,-0.09,0.88,0.72
ENSG00000002919,0.79,0.71,NA,0.46,-0.29,NA,1.1,0.59,0.08,0.6,NA,1.85,0.21,0.48,NA,0.45,NA,3.11,1.06,-0.46,0.03,NA,NA,1,0.19,NA,0,-0.18,0.26,0.9,-0.48,-0.14
ENSG00000002933,NA,NA,NA,NA,NA,NA,NA,-0.8,NA,-0.26,NA,0.36,0.14,NA,NA,-0.25,NA,NA,1.69,-0.03,NA,NA,0.27,NA,NA,1.92,NA,0.09,NA,-0.84,NA,-0.19
ENSG00000003056,0,-0.15,-0.56,0.26,-1.27,-0.02,-1.24,-0.34,-0.63,-0.66,-0.48,-0.72,-0.06,-0.43,-0.17,0.06,-0.71,-1.47,-0.91,-0.67,-0.56,-1.29,-0.55,-0.72,-0.88,-0.7,0.3,-0.09,-0.28,-0.94,-0.92,-1.1
ENSG00000003096,-0.68,0.98,NA,0.6,0.32,NA,-0.85,1.33,-0.64,1.25,NA,1.18,0.05,NA,-1.06,-0.34,NA,0.14,0.52,-0.26,-1.1,NA,NA,-0.06,-0.38,NA,-0.04,-0.37,NA,-0.54,0.99,0.51
ENSG00000003147,-0.91,-1.28,-1.7,-0.58,0.84,2.49,-0.36,-0.49,-0.1,-0.91,-0.36,-1.02,1.6,1.52,-0.76,-0.38,0.04,-0.78,-0.41,-2.61,1.76,0.72,1.46,-0.54,-0.76,-0.45,-0.52,1.23,-0.53,-0.37,-1.44,-0.9
ENSG00000003393,0,0,0,-0.3,2.93,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
