"tissue","p_value","p_val_adjusted"
"Adrenal gland",0.000499750124937531,0.000523547749934557
"Breast",0.000499750124937531,0.000523547749934557
"Cerebellum",0.000499750124937531,0.000523547749934557
"Cerebral cortex",0.000499750124937531,0.000523547749934557
"Colon",0.000499750124937531,0.000523547749934557
"Esophagus",0.000499750124937531,0.000523547749934557
"Heart muscle",0.000499750124937531,0.000523547749934557
"Liver",0.000499750124937531,0.000523547749934557
"Lung",0.000499750124937531,0.000523547749934557
"Ovary",0.000499750124937531,0.000523547749934557
"Pancreas",0.000499750124937531,0.000523547749934557
"Pituitary gland",1,1
"Prostate",0.000499750124937531,0.000523547749934557
"Salivary gland",0.000499750124937531,0.000523547749934557
"Skeletal muscle",0.000499750124937531,0.000523547749934557
"Skin",0.000499750124937531,0.000523547749934557
"Small intestine",0.000499750124937531,0.000523547749934557
"Spleen",0.000499750124937531,0.000523547749934557
"Stomach",0.000499750124937531,0.000523547749934557
"Testis",0.000499750124937531,0.000523547749934557
"Thyroid gland",0.000499750124937531,0.000523547749934557
"Vagina",0.000499750124937531,0.000523547749934557
